K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K00186	pyruvate flavodoxin/ferredoxin oxidoreductase domain-containing protein; K00186 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7] (A)
K00187	thiamine pyrophosphate binding domain-containing protein; K00187 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7] (A)
K00188	vorC; 2-oxoisovalerate oxidoreductase subunit gamma (EC:1.2.7.-); K00188 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7] (A)
K00189	pyruvate/ketoisovalerate ferredoxin oxidoreductase subunit gamma (EC:1.2.7.1); K00189 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7] (A)
K00190	codH; carbon monoxide dehydrogenase (EC:2.3.1.169); K00190 carbon monoxide dehydrogenase / acetyl-CoA synthase subunit beta [EC:1.2.7.4 1.2.99.2 2.3.1.169] (A)
K00192	acetyl-CoA decarbonylase/synthase complex subunit alpha (EC:1.2.99.2); K00192 acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.99.2] (A)
K00193	bifunctional acetyl-CoA decarbonylase/synthase complex subunit alpha/beta; K00193 acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-] (A)
K00194	acetyl-CoA decarbonylase/synthase complex subunit delta; K00194 acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245] (A)
K00195	CO dehydrogenase/acetyl-CoA synthase complex subunit epsilon; K00195 acetyl-CoA decarbonylase/synthase complex subunit epsilon (A)
K00196	carbon monoxide dehydrogenase iron sulfur subunit CooF1; K00196 carbon-monoxide dehydrogenase iron sulfur subunit (A)
K00197	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)-like protein; K00197 acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245] (A)
K00198	cooS; carbon-monoxide dehydrogenase, catalytic subunit; K00198 carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.99.2] (A)
K00200	formylmethanofurane dehydrogenase subunit A; K00200 formylmethanofuran dehydrogenase subunit A [EC:1.2.99.5] (A)
K00201	formylmethanofuran dehydrogenase (EC:1.2.99.5); K00201 formylmethanofuran dehydrogenase subunit B [EC:1.2.99.5] (A)
K00202	formylmethanofurane dehydrogenase subunit; K00202 formylmethanofuran dehydrogenase subunit C [EC:1.2.99.5] (A)
K00203	molybdopterin dinucleotide-binding region; K00203 formylmethanofuran dehydrogenase subunit D [EC:1.2.99.5] (A)
K00204	formylmethanofuran dehydrogenase subunit FwdE; K00204 formylmethanofuran dehydrogenase subunit H [EC:1.2.99.5] (A)
K00205	4Fe-4S ferredoxin; K00205 formylmethanofuran dehydrogenase subunit F [EC:1.2.99.5] (A)
K00206	aldehyde dehydrogenase (EC:1.2.-.-); K00206 [EC:1.2.-.-] (A)
K00207	DPYD, DHP, DHPDHASE, DPD; dihydropyrimidine dehydrogenase (EC:1.3.1.2); K00207 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2] (A)
K00208	MOD1; enoyl-[acyl-carrier protein] reductase I; K00208 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9] (A)
K00209	enoyl-(acyl carrier protein) reductase (EC:1.3.1.9); K00209 enoyl-[acyl-carrier-protein] reductase (NADPH2, B-specific) [EC:1.3.1.10] (A)
K00210	bifunctional cyclohexadienyl dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase; K00210 prephenate dehydrogenase [EC:1.3.1.12] K00800 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] (A)
K00211	TYR1; Tyr1p; K00211 prephenate dehydrogenase (NADP+) [EC:1.3.1.13] (A)
K00212	aldo-keto reductase family 1 member C2-like; K00089 3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213] K00212 trans-1,2-dihydrobenzene-1,2-diol dehydrogenase [EC:1.3.1.20] (A)
K00213	DHCR7, SLOS; 7-dehydrocholesterol reductase (EC:1.3.1.21); K00213 7-dehydrocholesterol reductase [EC:1.3.1.21] (A)
K00214	BLVRA, BLVR, BVR, BVRA; biliverdin reductase A (EC:1.3.1.24); K00214 biliverdin reductase [EC:1.3.1.24] (A)
K00215	dihydrodipicolinate reductase 1; K00215 dihydrodipicolinate reductase [EC:1.3.1.26] (A)
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC:1.3.1.28); K00216 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (A)
K00217	Iron-containing alcohol dehydrogenase; K00217 maleylacetate reductase [EC:1.3.1.32] (A)
K00218	POR_C; protochlorophyllide reductase C; K00218 protochlorophyllide reductase [EC:1.3.1.33] (A)
K00219	2,4-dienoyl-coa reductase FADH1; K00219 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34] (A)
K00220	bifunctional cyclohexadienyl dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase (EC:1.3.1.12 1.3.1.43 2.5.1.19); K00220 cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12] K00800 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] (A)
K00221	merB; alkylmercury lyase; K00221 alkylmercury lyase [EC:4.99.1.2] (A)
K00222	TM7SF2, ANG1, DHCR14A, NET47; transmembrane 7 superfamily member 2 (EC:1.3.1.70); K00222 delta14-sterol reductase [EC:1.3.1.70] (A)
K00223	ERG4; Erg4p; K00223 delta24(24(1))-sterol reductase [EC:1.3.1.71] (A)
K00224	Isoflavone reductase-P3; K00224 [EC:1.3.1.-] (A)
K00225	GLDH; L-galactono-1,4-lactone dehydrogenase; K00225 L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3] (A)
K00226	dihydroorotate oxidase; K00226 dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1] (A)
K00227	SC5DL, ERG3, S5DES, SC5D; sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like (EC:1.14.21.6); K00227 lathosterol oxidase [EC:1.14.21.6] (A)
K00228	CPOX, CPO, CPX, HCP; coproporphyrinogen oxidase (EC:1.3.3.3); K00228 coproporphyrinogen III oxidase [EC:1.3.3.3] (A)
K00230	protoporphyrinogen oxidase-like protein; K00230 menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3] (A)
K00231	PPOX, PPO, V290M, VP; protoporphyrinogen oxidase (EC:1.3.3.4); K00231 oxygen-dependent protoporphyrinogen oxidase [EC:1.3.3.4] (A)
K00232	ACOX1, ACOX, PALMCOX, SCOX; acyl-CoA oxidase 1, palmitoyl (EC:1.3.3.6); K00232 acyl-CoA oxidase [EC:1.3.3.6] (A)
K00234	SDHA, CMD1GG, FP, PGL5, SDH1, SDH2, SDHF; succinate dehydrogenase complex, subunit A, flavoprotein (Fp) (EC:1.3.5.1); K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] (A)
K00235	SDHB, IP, PGL4, SDH, SDH1, SDH2, SDHIP; succinate dehydrogenase complex, subunit B, iron sulfur (Ip) (EC:1.3.5.1); K00235 succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1] (A)
K00236	SDHC, CYB560, CYBL, PGL3, QPS1, SDH3; succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa; K00236 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit (A)
K00237	SDHD, CBT1, PGL, PGL1, SDH4; succinate dehydrogenase complex, subunit D, integral membrane protein; K00237 succinate dehydrogenase (ubiquinone) membrane anchor subunit (A)
K00239	sdhA; succinate dehydrogenase, flavoprotein subunit (EC:1.3.99.1); K00239 succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1] (A)
K00240	sdhB; succinate dehydrogenase, FeS subunit (EC:1.3.99.1); K00240 succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1] (A)
K00241	sdhC; succinate dehydrogenase, membrane subunit, binds cytochrome b556; K00241 succinate dehydrogenase cytochrome b556 subunit (A)
K00242	sdhD; succinate dehydrogenase, membrane subunit, binds cytochrome b556; K00242 succinate dehydrogenase membrane anchor subunit (A)
K00244	frdA; fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit (EC:1.3.99.1); K00244 fumarate reductase flavoprotein subunit [EC:1.3.99.1] (A)
K00245	frdB; fumarate reductase (anaerobic), Fe-S subunit (EC:1.3.99.1); K00245 fumarate reductase iron-sulfur subunit [EC:1.3.99.1] (A)
K00246	frdC; fumarate reductase (anaerobic), membrane anchor subunit; K00246 fumarate reductase subunit C (A)
K00247	frdD; fumarate reductase (anaerobic), membrane anchor subunit; K00247 fumarate reductase subunit D (A)
K00248	ACADS, ACAD3, SCAD; acyl-CoA dehydrogenase, C-2 to C-3 short chain (EC:1.3.8.1); K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1] (A)
K00249	ACADM, ACAD1, MCAD, MCADH; acyl-CoA dehydrogenase, C-4 to C-12 straight chain (EC:1.3.99.3); K00249 acyl-CoA dehydrogenase [EC:1.3.8.7] (A)
K00251	AKR1D1, 3o5bred, CBAS2, SRD5B1; aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) (EC:1.3.1.3); K00251 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3] (A)
K00252	GCDH, ACAD5, GCD; glutaryl-CoA dehydrogenase (EC:1.3.99.7); K00252 glutaryl-CoA dehydrogenase [EC:1.3.8.6] (A)
K00253	IVD, ACAD2; isovaleryl-CoA dehydrogenase (EC:1.3.8.4); K00253 isovaleryl-CoA dehydrogenase [EC:1.3.8.4] (A)
K00254	DHODH, DHOdehase, POADS, URA1; dihydroorotate dehydrogenase (quinone) (EC:1.3.5.2); K00254 dihydroorotate dehydrogenase [EC:1.3.5.2] (A)
K00255	ACADL, ACAD4, LCAD; acyl-CoA dehydrogenase, long chain (EC:1.3.99.13); K00255 long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8] (A)
K00256	isoquinoline 1-oxidoreductase (EC:1.3.99.16); K00256 isoquinoline 1-oxidoreductase [EC:1.3.99.16] (A)
K00257	acdh-4; Protein ACDH-4; K00257 [EC:1.3.99.-] (A)
K00258	Tb04.1D20.460; C-5 sterol desaturase (EC:1.3.-.-); K00258 [EC:1.3.-.-] (A)
K00259	ald; alanine dehydrogenase; K00259 alanine dehydrogenase [EC:1.4.1.1] (A)
K00260	glutamate dehydrogenase (EC:1.4.1.2); K00260 glutamate dehydrogenase [EC:1.4.1.2] (A)
K00261	GLUD1, GDH, GDH1, GLUD; glutamate dehydrogenase 1 (EC:1.4.1.3); K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] (A)
K00262	similar to NADP-specific glutamate dehydrogenase (NADP-GDH) (NADP-dependent glutamate dehydrogenase); K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (A)
K00263	leu; leucine dehydrogenase; K00263 leucine dehydrogenase [EC:1.4.1.9] (A)
K00264	CG9674 gene product from transcript CG9674-RD (EC:1.4.1.13 1.4.1.14); K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14] (A)
K00265	gltB; glutamate synthase, large subunit (EC:1.4.1.13); K00265 glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14] (A)
K00266	5.t00071; glutamate synthase beta subunit; K00266 glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14] (A)
K00270	pdh; phenylalanine dehydrogenase (EC:1.4.1.-); K00270 phenylalanine dehydrogenase [EC:1.4.1.20] (A)
K00271	Glu/Leu/Phe/Val dehydrogenase; K00271 valine dehydrogenase (NAD+) [EC:1.4.1.23] (A)
K00272	DDO, DASOX, DDO-1, DDO-2; D-aspartate oxidase (EC:1.4.3.1); K00272 D-aspartate oxidase [EC:1.4.3.1] (A)
K00273	DAO, DAAO, DAMOX, OXDA; D-amino-acid oxidase (EC:1.4.3.3); K00273 D-amino-acid oxidase [EC:1.4.3.3] (A)
K00274	MAOA, MAO-A; monoamine oxidase A (EC:1.4.3.4); K00274 monoamine oxidase [EC:1.4.3.4] (A)
K00275	PNPO, PDXPO; pyridoxamine 5'-phosphate oxidase (EC:1.4.3.5); K00275 pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5] (A)
K00276	AOC2, DAO2, RAO; amine oxidase, copper containing 2 (retina-specific) (EC:1.4.3.21); K00276 primary-amine oxidase [EC:1.4.3.21] (A)
K00277	LOX; lysyl oxidase (EC:1.4.3.13); K00277 protein-lysine 6-oxidase [EC:1.4.3.13] (A)
K00278	AO; L-aspartate oxidase; K00278 L-aspartate oxidase [EC:1.4.3.16] (A)
K00279	CKX5; cytokinin dehydrogenase 5; K00279 cytokinin dehydrogenase [EC:1.5.99.12] (A)
K00280	LOXL2, LOR2, WS9-14; lysyl oxidase-like 2 (EC:1.4.3.-); K00280 lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-] (A)
K00281	GLDC, GCE, GCSP, HYGN1; glycine dehydrogenase (decarboxylating) (EC:1.4.4.2); K00281 glycine dehydrogenase [EC:1.4.4.2] (A)
K00282	glycine cleavage system protein P; K00282 glycine dehydrogenase subunit 1 [EC:1.4.4.2] (A)
K00283	glycine cleavage system protein P; K00283 glycine dehydrogenase subunit 2 [EC:1.4.4.2] (A)
K00284	GLU2; ferredoxin-dependent glutamate synthase 2; K00284 glutamate synthase (ferredoxin) [EC:1.4.7.1] (A)
K00285	dadA; D-amino acid dehydrogenase (EC:1.4.99.1); K00285 D-amino-acid dehydrogenase [EC:1.4.99.1] (A)
K00286	PYCR2, P5CR2; pyrroline-5-carboxylate reductase family, member 2 (EC:1.5.1.2); K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2] (A)
K00287	DHFR, DHFRP1, DYR; dihydrofolate reductase (EC:1.5.1.3); K00287 dihydrofolate reductase [EC:1.5.1.3] (A)
K00288	MTHFD1, MTHFC, MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase (EC:1.5.1.5 6.3.4.3 3.5.4.9); K00288 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3] (A)
K00289	ALDH1L1, 10-FTHFDH, 10-fTHF, FDH, FTHFD; aldehyde dehydrogenase 1 family, member L1 (EC:1.5.1.6); K00289 formyltetrahydrofolate dehydrogenase [EC:1.5.1.6] (A)
K00290	LYS1; Lys1p; K00290 saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7] (A)
K00291	Alanine dehydrogenase/PNT, N-terminal domain containing protein; K00291 saccharopine dehydrogenase (NADP+, L-lysine forming) [EC:1.5.1.8] (A)
K00292	saccharopine dehydrogenase; K00292 saccharopine dehydrogenase (NAD+, L-glutamate forming) [EC:1.5.1.9] (A)
K00293	LYS9, LYS13; Lys9p; K00293 saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10] (A)
K00294	ALDH4A1, ALDH4, P5CD, P5CDh; aldehyde dehydrogenase 4 family, member A1 (EC:1.5.1.12); K00294 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.1.12] (A)
K00295	MTD1; Mtd1p; K00295 methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15] (A)
K00296	nos; D-nopaline dehydrogenase; K00296 D-nopaline dehydrogenase [EC:1.5.1.19] (A)
K00297	MTHFR; methylenetetrahydrofolate reductase (NAD(P)H) (EC:1.5.1.20); K00297 methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] (A)
K00298	ceo; N5-carboxyethyl-ornithine synthase (EC:1.5.1.24); K00298 N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24] (A)
K00299	ssuE; NAD(P)H-dependent FMN reductase; K00299 FMN reductase [EC:1.5.1.38] (A)
K00300	oxidoreductase (EC:1.5.1.-); K00300 [EC:1.5.1.-] (A)
K00301	FAD dependent oxidoreductase, putative; K00301 sarcosine oxidase [EC:1.5.3.1] (A)
K00302	soxA; sarcosine oxidase alpha subunit; K00302 sarcosine oxidase, subunit alpha [EC:1.5.3.1] (A)
K00303	sarcosine oxidase, subunit beta; K00303 sarcosine oxidase, subunit beta [EC:1.5.3.1] (A)
K00304	sarcosine oxidase subunit delta family protein; K00304 sarcosine oxidase, subunit delta [EC:1.5.3.1] (A)
K00305	sarcosine oxidase subunit gamma; K00305 sarcosine oxidase, subunit gamma [EC:1.5.3.1] (A)
K00306	PIPOX, LPIPOX; pipecolic acid oxidase (EC:1.5.3.1 1.5.3.7); K00306 sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7] (A)
K00307	RecName: Full=Reticuline oxidase; EC=1.21.3.3; AltName: Full=Berberine bridge-forming enzyme; Short=BBE; AltName: Full=Tetrahydroprotoberberine synthase; Flags: Precursor;
K00308	PAOX, PAO; polyamine oxidase (exo-N4-amino) (EC:1.5.3.13); K00308 N1-acetylpolyamine oxidase [EC:1.5.3.13] (A)
K00309	AGL165Wp; K00309 [EC:1.5.3.-] (A)
K00310	se; sepia (EC:1.5.4.1 1.8.5.1 2.5.1.18 2.8.-.-); K00310 pyrimidodiazepine synthase [EC:1.5.4.1] K00799 glutathione S-transferase [EC:2.5.1.18] (A)
K00311	ETFDH, ETFQO, MADD; electron-transferring-flavoprotein dehydrogenase (EC:1.5.5.1); K00311 electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1] (A)
K00312	WNT3, INT4; wingless-type MMTV integration site family, member 3; K00312 wingless-type MMTV integration site family, member 3 (A)
K00313	fixC; predicted oxidoreductase with FAD/NAD(P)-binding domain; K00313 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-] (A)
K00314	SARDH, BPR-2, DMGDHL1, SAR, SARD, SDH; sarcosine dehydrogenase (EC:1.5.8.3); K00314 sarcosine dehydrogenase [EC:1.5.8.3] (A)
K00315	DMGDH, DMGDHD, ME2GLYDH; dimethylglycine dehydrogenase (EC:1.5.8.4); K00315 dimethylglycine dehydrogenase [EC:1.5.8.4] (A)
K00316	twin-arginine translocation pathway signal; K00316 spermidine dehydrogenase [EC:1.5.99.6] (A)
K00317	nemA; NemA protein; K00317 trimethylamine dehydrogenase [EC:1.5.8.2] (A)
K00318	PRODH, HSPOX2, PIG6, POX, PRODH1, PRODH2, TP53I6; proline dehydrogenase (oxidase) 1 (EC:1.5.99.8); K00318 proline dehydrogenase [EC:1.5.99.8] (A)
K00319	F420-dependent methylenetetrahydromethanopterin dehydrogenase (EC:1.5.99.9); K00319 methylenetetrahydromethanopterin dehydrogenase [EC:1.5.99.9] (A)
K00320	5,10-methylenetetrahydromethanopterin reductase (EC:1.5.99.11); K00320 coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase [EC:1.5.99.11] (A)
K00321	N,N-dimethylglycine oxidase (EC:1.5.99.-); K00321 [EC:1.5.99.-] (A)
K00322	pyridine nucleotide transhydrogenase, putative (EC:1.6.1.2); K00322 NAD(P) transhydrogenase [EC:1.6.1.1] (A)
K00323	NNT; nicotinamide nucleotide transhydrogenase (EC:1.6.1.2); K00323 NAD(P) transhydrogenase [EC:1.6.1.2] (A)
K00324	pntA; pyridine nucleotide transhydrogenase, alpha subunit (EC:1.6.1.2); K00324 NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2] (A)
K00325	pntB; pyridine nucleotide transhydrogenase, beta subunit (EC:1.6.1.2); K00325 NAD(P) transhydrogenase subunit beta [EC:1.6.1.2] (A)
K00326	CYB5R3, B5R, DIA1; cytochrome b5 reductase 3 (EC:1.6.2.2); K00326 cytochrome-b5 reductase [EC:1.6.2.2] (A)
K00327	POR, CPR, CYPOR, P450R; P450 (cytochrome) oxidoreductase (EC:1.6.2.4); K00327 NADPH-ferrihemoprotein reductase [EC:1.6.2.4] (A)
K00328	IPMK; inositol polyphosphate multikinase (EC:2.7.1.151); K00328 inositol-polyphosphate multikinase [EC:2.7.1.151] (A)
K00329	CG6485 gene product from transcript CG6485-RA (EC:1.6.5.3 1.6.99.3); K00329 NADH dehydrogenase [EC:1.6.5.3] K00356 NADH dehydrogenase [EC:1.6.99.3] (A)
K00330	nuoA; NADH:ubiquinone oxidoreductase, membrane subunit A; K00330 NADH-quinone oxidoreductase subunit A [EC:1.6.5.3] (A)
K00331	nuoB; NADH:ubiquinone oxidoreductase, chain B (EC:1.6.5.3); K00331 NADH-quinone oxidoreductase subunit B [EC:1.6.5.3] (A)
K00332	NADH dehydrogenase subunit C (EC:1.6.5.3); K00332 NADH-quinone oxidoreductase subunit C [EC:1.6.5.3] (A)
K00333	NADH dehydrogenase subunit D (EC:1.6.5.3); K00333 NADH-quinone oxidoreductase subunit D [EC:1.6.5.3] (A)
K00334	nuoE; NADH:ubiquinone oxidoreductase, chain E (EC:1.6.5.3); K00334 NADH-quinone oxidoreductase subunit E [EC:1.6.5.3] (A)
K00335	nuoF; NADH:ubiquinone oxidoreductase, chain F (EC:1.6.5.3); K00335 NADH-quinone oxidoreductase subunit F [EC:1.6.5.3] (A)
K00336	nuoG; NADH:ubiquinone oxidoreductase, chain G (EC:1.6.5.3); K00336 NADH-quinone oxidoreductase subunit G [EC:1.6.5.3] (A)
K00337	nuoH; NADH:ubiquinone oxidoreductase, membrane subunit H; K00337 NADH-quinone oxidoreductase subunit H [EC:1.6.5.3] (A)
K00338	nuoI; NADH:ubiquinone oxidoreductase, chain I (EC:1.6.5.3); K00338 NADH-quinone oxidoreductase subunit I [EC:1.6.5.3] (A)
K00339	nuoJ; NADH:ubiquinone oxidoreductase, membrane subunit J; K00339 NADH-quinone oxidoreductase subunit J [EC:1.6.5.3] (A)
K00340	nuoK; NADH:ubiquinone oxidoreductase, membrane subunit K; K00340 NADH-quinone oxidoreductase subunit K [EC:1.6.5.3] (A)
K00341	nuoL; NADH:ubiquinone oxidoreductase, membrane subunit L; K00341 NADH-quinone oxidoreductase subunit L [EC:1.6.5.3] (A)
K00342	nuoM; NADH:ubiquinone oxidoreductase, membrane subunit M; K00342 NADH-quinone oxidoreductase subunit M [EC:1.6.5.3] (A)
K00343	nuoN; NADH:ubiquinone oxidoreductase, membrane subunit N; K00343 NADH-quinone oxidoreductase subunit N [EC:1.6.5.3] (A)
K00344	CRYZ; crystallin, zeta (quinone reductase) (EC:1.6.5.5); K00344 NADPH2:quinone reductase [EC:1.6.5.5] (A)
K00346	nqrA; Na(+)-translocating NADH-quinone reductase subunit A; K00346 Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.-] (A)
K00347	nqrB; Na(+)-translocating NADH-quinone reductase subunit B; K00347 Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.-] (A)
K00348	Na(+)-translocating NADH-quinone reductase subunit C; K00348 Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.-] (A)
K00349	nqrD; Na(+)-translocating NADH-quinone reductase subunit D; K00349 Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.-] (A)
K00350	nqrE; Na(+)-translocating NADH-quinone reductase subunit E; K00350 Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.-] (A)
K00351	nqrF; Na(+)-translocating NADH-quinone reductase subunit F; K00351 Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.-] (A)
K00353	frxA; NAD(P)H nitroreductase (EC:1.6.6.-); K00353 [EC:1.6.6.-] (A)
K00354	OYE2; Oye2p; K00354 NADPH2 dehydrogenase [EC:1.6.99.1] (A)
K00355	NQO1, DHQU, DIA4, DTD, NMOR1, NMORI, QR1; NAD(P)H dehydrogenase, quinone 1 (EC:1.6.5.2); K00355 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2] (A)
K00356	CG6485 gene product from transcript CG6485-RA (EC:1.6.5.3 1.6.99.3); K00329 NADH dehydrogenase [EC:1.6.5.3] K00356 NADH dehydrogenase [EC:1.6.99.3] (A)
K00357	QDPR, DHPR, PKU2, SDR33C1; quinoid dihydropteridine reductase (EC:1.5.1.34); K00357 dihydropteridine reductase [EC:1.5.1.34] (A)
K00358	pyridine nucleotide-disulphide oxidoreductase family protein (EC:1.6.99.-); K00358 [EC:1.6.99.-] (A)
K00359	zinc alcohol dehydrogenase (EC:1.6.-.-); K00359 NADH oxidase [EC:1.6.-.-] (A)
K00360	Nia, nitrate reductase apoenzyme (IC); K00360 nitrate reductase (NADH) [EC:1.7.1.1] (A)
K00362	DEHA2G21890p; K00362 nitrite reductase (NAD(P)H) large subunit [EC:1.7.1.4] (A)
K00363	nirD; nitrite reductase, NAD(P)H-binding, small subunit (EC:1.7.1.4); K00363 nitrite reductase (NAD(P)H) small subunit [EC:1.7.1.4] (A)
K00364	GMPR, GMPR1; guanosine monophosphate reductase (EC:1.7.1.7); K00364 GMP reductase [EC:1.7.1.7] (A)
K00365	uricase-like; K00365 urate oxidase [EC:1.7.3.3] (A)
K00366	NIR1; Ferredoxin--nitrite reductase; K00366 ferredoxin-nitrite reductase [EC:1.7.7.1] (A)
K00367	narB; nitrate reductase; K00367 ferredoxin-nitrate reductase [EC:1.7.7.2] (A)
K00368	sufI; SufI protein; K00368 nitrite reductase (NO-forming) [EC:1.7.2.1] (A)
K00369	narX; nitrate reductase NarX (EC:1.7.99.4); K00369 nitrate reductase-like protein (A)
K00370	narG; nitrate reductase 1, alpha subunit (EC:1.7.99.4); K00370 nitrate reductase 1, alpha subunit [EC:1.7.99.4] (A)
K00371	narH; nitrate reductase 1, beta (Fe-S) subunit (EC:1.7.99.4); K00371 nitrate reductase 1, beta subunit [EC:1.7.99.4] (A)
K00372	nasA; nitrate reductase (EC:1.7.99.4); K00372 nitrate reductase catalytic subunit [EC:1.7.99.4] (A)
K00373	narJ; molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1 (EC:1.7.99.4); K00373 nitrate reductase 1, delta subunit (A)
K00374	narI; nitrate reductase 1, gamma (cytochrome b(NR)) subunit (EC:1.7.99.4); K00374 nitrate reductase 1, gamma subunit [EC:1.7.99.4] (A)
K00375	transcriptional regulator; K00375 GntR family transcriptional regulator / MocR family aminotransferase (A)
K00376	nitrous-oxide reductase (EC:1.7.99.6); K00376 nitrous-oxide reductase [EC:1.7.2.4] (A)
K00378	hcp; hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases; K00378 hydroxylamine reductase [EC:1.7.-.-] (A)
